Regions,Transcription Factors,Properties
seq1937_[chr3:155432158-155432328],GLI2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq1937_[chr3:155432158-155432328],,Induction/activity_at_TP_3h
seq2264_[chr17:36729216-36729386],OTX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq2264_[chr17:36729216-36729386],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq2264_[chr17:36729216-36729386],DMBX1_Fimo_hg19_10,Induction/activity_at_TP_48h
seq2264_[chr17:36729216-36729386],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
seq2264_[chr17:36729216-36729386],PRDM4_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq374_[chr12:49380487-49380657],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_12h
seq374_[chr12:49380487-49380657],NFAT_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq374_[chr12:49380487-49380657],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_6h
seq374_[chr12:49380487-49380657],,Induction/activity_at_TP_0h
seq374_[chr12:49380487-49380657],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq374_[chr12:49380487-49380657],,pathway_hsa04340
seq374_[chr12:49380487-49380657],,Induction/activity_at_TP_3h
seq374_[chr12:49380487-49380657],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq374_[chr12:49380487-49380657],,pathway_hsa04310
seq905_[chr2:161781638-161781808],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq905_[chr2:161781638-161781808],BARHL1_Fimo_ENCODE_3,Induction/activity_at_TP_24h
seq905_[chr2:161781638-161781808],HHEX_Fimo_hg19_1,Induction/activity_at_TP_48h
seq905_[chr2:161781638-161781808],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq905_[chr2:161781638-161781808],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq905_[chr2:161781638-161781808],PAX6_Fimo_ENCODE_4,
seq905_[chr2:161781638-161781808],PAX6_Fimo_hg19_3,
seq905_[chr2:161781638-161781808],FOXJ2_Fimo_ENCODE_1,
seq905_[chr2:161781638-161781808],TCF12_Fimo_ENCODE_7,
controls_seq148_[chr9:110235258-110235428],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_24h
controls_seq148_[chr9:110235258-110235428],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
controls_seq148_[chr9:110235258-110235428],USF1_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
controls_seq148_[chr9:110235258-110235428],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
controls_seq148_[chr9:110235258-110235428],E2F4_Fimo_hg19_3,Induction/activity_at_TP_48h
controls_seq148_[chr9:110235258-110235428],TFAP2_Fimo_ENCODE_10,
controls_seq148_[chr9:110235258-110235428],BHLHE40_Fimo_hg19_2,
controls_seq148_[chr9:110235258-110235428],REST_Fimo_ENCODE_9,
controls_seq148_[chr9:110235258-110235428],REST_Fimo_ENCODE_8,
controls_seq148_[chr9:110235258-110235428],HIF1A_Fimo_ENCODE_1,
controls_seq148_[chr9:110235258-110235428],HIF1A_Fimo_ENCODE_2,
controls_seq148_[chr9:110235258-110235428],PTEN_Fimo_ENCODE_1,
seq116_[chr1:160951446-160951616],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq116_[chr1:160951446-160951616],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_24h
seq116_[chr1:160951446-160951616],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_1
seq116_[chr1:160951446-160951616],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq116_[chr1:160951446-160951616],BARHL1_Fimo_ENCODE_3,Induction/activity_at_TP_48h
seq792_[chr19:17246400-17246570],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq792_[chr19:17246400-17246570],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq792_[chr19:17246400-17246570],FOXJ2_Fimo_ENCODE_1,Induction/activity_at_TP_6h
seq792_[chr19:17246400-17246570],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq792_[chr19:17246400-17246570],,Induction/activity_at_TP_0h
seq792_[chr19:17246400-17246570],,Induction/activity_at_TP_12h
seq792_[chr19:17246400-17246570],,Induction/activity_at_TP_3h
seq366_[chr12:33741075-33741245],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq366_[chr12:33741075-33741245],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq366_[chr12:33741075-33741245],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq366_[chr12:33741075-33741245],E2F4_Fimo_hg19_6,Induction/activity_at_TP_12h
seq366_[chr12:33741075-33741245],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_48h
seq366_[chr12:33741075-33741245],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq366_[chr12:33741075-33741245],PKNOX2_Fimo_hg19_5,
seq366_[chr12:33741075-33741245],TFCP2L1_Fimo_ENCODE_1,
seq366_[chr12:33741075-33741245],RXRA_Fimo_ENCODE_2,
seq366_[chr12:33741075-33741245],REST_Fimo_ENCODE_8,
seq366_[chr12:33741075-33741245],REST_Fimo_ENCODE_9,
seq366_[chr12:33741075-33741245],MEIS3_Fimo_ENCODE_1,
seq366_[chr12:33741075-33741245],TCF12_Fimo_ENCODE_5,
seq1658_[chr10:17430253-17430423],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq1658_[chr10:17430253-17430423],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq1658_[chr10:17430253-17430423],SOX5_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq1658_[chr10:17430253-17430423],MYC_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
seq1658_[chr10:17430253-17430423],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_24h
seq1658_[chr10:17430253-17430423],FOXJ2_Fimo_ENCODE_1,
seq266_[chr11:20178226-20178396],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq266_[chr11:20178226-20178396],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq266_[chr11:20178226-20178396],ATF3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq266_[chr11:20178226-20178396],,Induction/activity_at_TP_12h
seq266_[chr11:20178226-20178396],,Induction/activity_at_TP_48h
seq266_[chr11:20178226-20178396],,Induction/activity_at_TP_24h
seq1049_[chr22:46440726-46440896],MYC_Fimo_ENCODE_9,pathway_hsa04310
seq1049_[chr22:46440726-46440896],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq1049_[chr22:46440726-46440896],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq1049_[chr22:46440726-46440896],TFAP2_Fimo_ENCODE_10,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq1049_[chr22:46440726-46440896],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq1049_[chr22:46440726-46440896],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq1049_[chr22:46440726-46440896],GLIS2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq1049_[chr22:46440726-46440896],REST_Fimo_ENCODE_9,pathway_hsa04340
seq1049_[chr22:46440726-46440896],ZIC2_Fimo_ENCODE_2,
seq1049_[chr22:46440726-46440896],PRDM4_Fimo_ENCODE_1,
seq200_[chr10:77161522-77161692],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq200_[chr10:77161522-77161692],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_24h
seq200_[chr10:77161522-77161692],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_4
seq200_[chr10:77161522-77161692],MZF1_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq200_[chr10:77161522-77161692],USF1_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq200_[chr10:77161522-77161692],SP8_Fimo_ENCODE_1,
seq200_[chr10:77161522-77161692],TFCP2L1_Fimo_ENCODE_1,
seq200_[chr10:77161522-77161692],RXRA_Fimo_ENCODE_2,
seq200_[chr10:77161522-77161692],REST_Fimo_ENCODE_8,
seq200_[chr10:77161522-77161692],HIF1A_Fimo_ENCODE_1,
seq200_[chr10:77161522-77161692],HIF1A_Fimo_ENCODE_2,
seq200_[chr10:77161522-77161692],PRDM4_Fimo_ENCODE_1,
seq2206_[chr1:40442529-40442699],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq2206_[chr1:40442529-40442699],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq2206_[chr1:40442529-40442699],TFAP2_Fimo_ENCODE_4,Induction/activity_at_TP_12h
seq2206_[chr1:40442529-40442699],TFAP2_Fimo_ENCODE_10,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq2206_[chr1:40442529-40442699],REST_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq2206_[chr1:40442529-40442699],YY2_Fimo_hg19_10,Induction/activity_at_TP_24h
seq2206_[chr1:40442529-40442699],ZIC2_Fimo_ENCODE_1,
seq2206_[chr1:40442529-40442699],OTX2_Fimo_ENCODE_1,
seq2206_[chr1:40442529-40442699],REST_Fimo_ENCODE_9,
seq2206_[chr1:40442529-40442699],DMBX1_Fimo_hg19_10,
seq2206_[chr1:40442529-40442699],ZIC2_Fimo_ENCODE_2,
seq1446_[chr7:100743510-100743680],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq1446_[chr7:100743510-100743680],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq1446_[chr7:100743510-100743680],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq1446_[chr7:100743510-100743680],,Induction/activity_at_TP_12h
seq1446_[chr7:100743510-100743680],,Induction/activity_at_TP_48h
seq1446_[chr7:100743510-100743680],,Induction/activity_at_TP_24h
seq1175_[chr4:125380900-125381070],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1175_[chr4:125380900-125381070],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq1175_[chr4:125380900-125381070],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq1175_[chr4:125380900-125381070],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_6h
seq1175_[chr4:125380900-125381070],YY2_Fimo_hg19_10,Induction/activity_at_TP_0h
seq1175_[chr4:125380900-125381070],IRX3_Fimo_hg19_7,Induction/activity_at_TP_12h
seq1175_[chr4:125380900-125381070],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_3h
seq1175_[chr4:125380900-125381070],PTEN_Fimo_ENCODE_1,
seq1366_[chr6:144651800-144651970],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq1366_[chr6:144651800-144651970],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq1366_[chr6:144651800-144651970],SRF_Fimo_hg19_17,Induction/activity_at_TP_48h
seq1366_[chr6:144651800-144651970],SOX21_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq1366_[chr6:144651800-144651970],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq2263_[chr17:13542498-13542668],OTX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq2263_[chr17:13542498-13542668],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq2263_[chr17:13542498-13542668],NFKB2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq2263_[chr17:13542498-13542668],DMBX1_Fimo_hg19_10,Induction/activity_at_TP_12h
seq2263_[chr17:13542498-13542668],PAX6_Fimo_ENCODE_4,Induction/activity_at_TP_48h
seq2263_[chr17:13542498-13542668],,Induction/activity_at_TP_24h
controls_seq174_[chr6:31126527-31126697],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
controls_seq174_[chr6:31126527-31126697],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
controls_seq174_[chr6:31126527-31126697],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_6h
controls_seq174_[chr6:31126527-31126697],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
controls_seq174_[chr6:31126527-31126697],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_0h
controls_seq174_[chr6:31126527-31126697],ATF3_Fimo_hg19_1,Induction/activity_at_TP_12h
controls_seq174_[chr6:31126527-31126697],REST_Fimo_ENCODE_8,Induction/activity_at_TP_3h
seq2228_[chr10:34716436-34716606],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq2228_[chr10:34716436-34716606],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq2228_[chr10:34716436-34716606],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq2228_[chr10:34716436-34716606],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq2228_[chr10:34716436-34716606],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_48h
seq2228_[chr10:34716436-34716606],,Induction/activity_at_TP_24h
seq1516_[chr8:104663261-104663431],GLI1_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq1516_[chr8:104663261-104663431],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq1516_[chr8:104663261-104663431],HOMEZ_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq1516_[chr8:104663261-104663431],ZIC2_Fimo_ENCODE_2,Induction/activity_at_TP_6h
seq1516_[chr8:104663261-104663431],LMX1A_Fimo_hg19_1,Induction/activity_at_TP_0h
seq1516_[chr8:104663261-104663431],GLI1_Fimo_hg19_3,Induction/activity_at_TP_12h
seq1516_[chr8:104663261-104663431],,Induction/activity_at_TP_3h
seq432_[chr12:124625507-124625677],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_72h
seq432_[chr12:124625507-124625677],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq432_[chr12:124625507-124625677],MYC_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq432_[chr12:124625507-124625677],REST_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq432_[chr12:124625507-124625677],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq432_[chr12:124625507-124625677],RXRA_Fimo_ENCODE_2,
seq432_[chr12:124625507-124625677],CR936877.3_Fimo_hg19_22,
seq432_[chr12:124625507-124625677],ZIC5_Fimo_hg19_1,
seq432_[chr12:124625507-124625677],TCF12_Fimo_ENCODE_5,
seq432_[chr12:124625507-124625677],PTEN_Fimo_ENCODE_1,
seq432_[chr12:124625507-124625677],PRDM4_Fimo_ENCODE_1,
seq1240_[chr5:72783756-72783926],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq1240_[chr5:72783756-72783926],JUN_Fimo_hg19_11,Induction/activity_at_TP_12h
seq1240_[chr5:72783756-72783926],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_6h
seq1240_[chr5:72783756-72783926],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq1240_[chr5:72783756-72783926],,Induction/activity_at_TP_0h
seq1240_[chr5:72783756-72783926],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq1240_[chr5:72783756-72783926],,Induction/activity_at_TP_3h
seq904_[chr2:157487561-157487731],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq904_[chr2:157487561-157487731],NR2F2_Fimo_hg19_22,Induction/activity_at_TP_6h
seq904_[chr2:157487561-157487731],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq904_[chr2:157487561-157487731],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq904_[chr2:157487561-157487731],SRF_Fimo_hg19_17,Induction/activity_at_TP_0h
seq904_[chr2:157487561-157487731],TFAP2_Fimo_ENCODE_10,Induction/activity_at_TP_12h
seq904_[chr2:157487561-157487731],YY2_Fimo_hg19_10,Induction/activity_at_TP_3h
seq904_[chr2:157487561-157487731],RXRA_Fimo_ENCODE_2,
seq904_[chr2:157487561-157487731],REST_Fimo_ENCODE_8,
seq904_[chr2:157487561-157487731],REST_Fimo_ENCODE_9,
seq904_[chr2:157487561-157487731],HIF1A_Fimo_ENCODE_2,
seq521_[chr14:100355660-100355830],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
seq521_[chr14:100355660-100355830],TCF7L2_Fimo_ENCODE_4,Induction/activity_at_TP_72h
seq521_[chr14:100355660-100355830],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq521_[chr14:100355660-100355830],ZIC2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq521_[chr14:100355660-100355830],PTEN_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq521_[chr14:100355660-100355830],PRDM4_Fimo_ENCODE_1,
seq1571_[chr9:94649070-94649240],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq1571_[chr9:94649070-94649240],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq1571_[chr9:94649070-94649240],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq1571_[chr9:94649070-94649240],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_12h
seq1571_[chr9:94649070-94649240],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1571_[chr9:94649070-94649240],,Induction/activity_at_TP_24h
seq414_[chr12:110318406-110318576],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq414_[chr12:110318406-110318576],EP300_Fimo_ENCODE_5,Induction/activity_at_TP_24h
seq414_[chr12:110318406-110318576],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq414_[chr12:110318406-110318576],OTX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq414_[chr12:110318406-110318576],ZIC5_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq414_[chr12:110318406-110318576],PAX6_Fimo_hg19_3,
seq414_[chr12:110318406-110318576],DMBX1_Fimo_hg19_10,
seq414_[chr12:110318406-110318576],PRDM4_Fimo_ENCODE_1,
seq307_[chr11:77184409-77184579],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq307_[chr11:77184409-77184579],EP300_Fimo_ENCODE_5,Induction/activity_at_TP_12h
seq307_[chr11:77184409-77184579],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq307_[chr11:77184409-77184579],SRF_Fimo_hg19_17,Induction/activity_at_TP_6h
seq307_[chr11:77184409-77184579],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq307_[chr11:77184409-77184579],,Induction/activity_at_TP_0h
seq307_[chr11:77184409-77184579],,pathway_hsa04010
seq307_[chr11:77184409-77184579],,Induction/activity_at_TP_3h
controls_seq36_[chr18:49573352-49573522],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
controls_seq36_[chr18:49573352-49573522],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_24h
controls_seq36_[chr18:49573352-49573522],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
controls_seq36_[chr18:49573352-49573522],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
controls_seq36_[chr18:49573352-49573522],PKNOX2_Fimo_hg19_5,Induction/activity_at_TP_48h
controls_seq36_[chr18:49573352-49573522],SOX9_Fimo_hg19_27,
controls_seq36_[chr18:49573352-49573522],MEIS3_Fimo_ENCODE_1,
controls_seq36_[chr18:49573352-49573522],SOX10_Fimo_ENCODE_8,
seq2027_[chr8:65936285-65936455],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_72h
seq2027_[chr8:65936285-65936455],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq2027_[chr8:65936285-65936455],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq2027_[chr8:65936285-65936455],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq2027_[chr8:65936285-65936455],SOX9_Fimo_hg19_27,Induction/activity_at_TP_48h
seq2027_[chr8:65936285-65936455],LMX1A_Fimo_hg19_1,
seq2027_[chr8:65936285-65936455],OTX2_Fimo_ENCODE_1,
seq2027_[chr8:65936285-65936455],DMBX1_Fimo_hg19_10,
seq2027_[chr8:65936285-65936455],SOX10_Fimo_ENCODE_8,
seq2232_[chr10:74020532-74020702],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq2232_[chr10:74020532-74020702],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_72h
seq2232_[chr10:74020532-74020702],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq2232_[chr10:74020532-74020702],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
seq2232_[chr10:74020532-74020702],,Induction/activity_at_TP_48h
seq2232_[chr10:74020532-74020702],,pathway_hsa04150
seq1207_[chr5:2751732-2751902],YY2_Fimo_hg19_9,Induction/activity_at_TP_24h
seq1207_[chr5:2751732-2751902],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq1207_[chr5:2751732-2751902],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1207_[chr5:2751732-2751902],OTX1_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq1207_[chr5:2751732-2751902],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_4
seq1207_[chr5:2751732-2751902],BHLHE40_Fimo_hg19_2,
seq1207_[chr5:2751732-2751902],YY2_Fimo_hg19_10,
seq1207_[chr5:2751732-2751902],RXRA_Fimo_ENCODE_2,
seq1207_[chr5:2751732-2751902],CR936877.3_Fimo_hg19_22,
seq1207_[chr5:2751732-2751902],REST_Fimo_ENCODE_9,
seq1207_[chr5:2751732-2751902],GLI2_Fimo_ENCODE_1,
controls_seq110_[chr2:30607896-30608066],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
controls_seq110_[chr2:30607896-30608066],SOX1_Fimo_hg19_3,Induction/activity_at_TP_24h
controls_seq110_[chr2:30607896-30608066],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
controls_seq110_[chr2:30607896-30608066],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_5
controls_seq110_[chr2:30607896-30608066],,Induction/activity_at_TP_48h
controls_seq8_[chr10:102245394-102245564],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_0h
controls_seq8_[chr10:102245394-102245564],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
controls_seq8_[chr10:102245394-102245564],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_6h
